,finbert_sentiment,finbert_uncertainty,finbert_neg_ratio,finbert_pos_ratio,finbert_sentiment_5d,finbert_uncertainty_5d,finbert_sentiment_22d,finbert_uncertainty_22d,finbert_sentiment_mom5d,finbert_sentiment_std22d
2010-09-03,-0.23774798214435577,0.5647919774055481,0.3,0.0,-0.1181867316365242,0.6216956377029419,-0.06810938484374095,0.6430484598333185,-0.08251075446605682,0.13502188923909864
2010-09-07,-0.0356803759932518,0.6600999236106873,0.1,0.1,-0.09771419763565063,0.6072319626808167,-0.07769615086726844,0.6445031409913843,0.10236267000436783,0.12395573596786845
2010-09-08,0.005308189429342747,0.8715558052062988,0.0,0.0,-0.05142358373850584,0.6593197703361511,-0.07579182848249646,0.6607951007106088,0.23145306948572397,0.12493531327288163
2010-09-09,-0.04551567882299423,0.7446659207344055,0.1,0.0,-0.05146812852472067,0.6925813436508179,-0.08124560471200808,0.6595850803635337,-0.00022272393107414246,0.12060757532237518
2010-09-10,-0.015515411272644997,0.5880089998245239,0.1,0.2,-0.0658302517607808,0.6858245253562927,-0.08146338662217287,0.6479528681798414,-0.07181061618030071,0.12047842711503931
2010-09-13,0.13549470901489258,0.7427483201026917,0.0,0.1,0.008818286471068859,0.7214157938957214,-0.06606272969987582,0.6492877575484189,0.37324269115924835,0.12570183123035403
2010-09-14,0.22589778900146484,0.6245445013046265,0.0,0.3,0.06113391947001219,0.7143047094345093,-0.04647481871176173,0.6516155763105913,0.26157816499471664,0.13615575195369936
2010-09-15,-0.21429070830345154,0.6468409299850464,0.3,0.0,0.01721413992345333,0.6693617343902588,-0.04214897368695925,0.6550796140323986,-0.21959889773279428,0.1287107898729394
2010-09-16,-0.3611534535884857,0.5143808126449585,0.4,0.0,-0.045913415029644966,0.6233047127723694,-0.05842325705188242,0.6459868712858721,-0.3156377747654915,0.14512877728731974
2010-09-17,-0.03080647811293602,0.6452217102050781,0.2,0.1,-0.04897162839770317,0.6347472548484803,-0.05938655489378355,0.6454283026131716,-0.015291066840291023,0.14485945945021336
2010-09-20,0.003288140520453453,0.9006903767585754,0.0,0.0,-0.075412942096591,0.666335666179657,-0.05532087745483626,0.6524898355657404,-0.13220656849443913,0.14532678154281534
2010-09-21,-0.0892786756157875,0.82110595703125,0.1,0.0,-0.13844823502004147,0.7056479573249816,-0.05868459928950125,0.6643552861430428,-0.31517646461725235,0.14521216397645792
2010-09-22,-0.11893441528081894,0.6521039605140686,0.2,0.1,-0.11937697641551495,0.7067005634307861,-0.06919660618190061,0.6694990450685675,0.0953562930226326,0.14053826980533266
2010-09-23,0.017704997211694717,0.8239816427230835,0.0,0.0,-0.04360528625547886,0.7686207294464111,-0.06385782339864156,0.6744946458122947,0.37885845080018044,0.1415496784679378
2010-09-24,-0.27169013023376465,0.32906150817871094,0.5,0.2,-0.09178201667964458,0.7053886890411377,-0.07939530616964806,0.6558991291306235,-0.24088365212082863,0.14486311672325736
2010-09-27,-0.02788197435438633,0.8191911578178406,0.0,0.0,-0.09801603965461254,0.6890888452529907,-0.08358016089451584,0.6701799820769917,-0.031170114874839783,0.14181558381892778
2010-09-28,0.051280807703733444,0.6805996894836426,0.1,0.1,-0.06990414299070835,0.6609875917434692,-0.06899743429808454,0.6734992943026803,0.14055948331952095,0.1382325767867569
2010-09-29,0.00257589528337121,0.6584007740020752,0.1,0.1,-0.04560208087787032,0.6622469544410705,-0.06182411052709953,0.6741672808473761,0.12151031056419015,0.1376376446820451
2010-09-30,-0.09637801349163055,0.6953994035720825,0.2,0.0,-0.06841868301853538,0.6365305066108704,-0.05993024541319094,0.6724846037951383,-0.11408301070332527,0.13682318865711826
2010-10-01,-0.26632946729660034,0.48036903142929077,0.4,0.0,-0.06734655043110252,0.6667920112609863,-0.061756817560473624,0.6665415249087594,0.005360662937164307,0.13939191375348403
2010-10-04,-0.10276056826114655,0.6198968291282654,0.3,0.0,-0.08232226921245456,0.6269331455230713,-0.06436898180452938,0.6684296510436318,-0.07487859390676022,0.13960699122379103
2010-10-05,-0.0974760502576828,0.6100472211837769,0.2,0.0,-0.1120736408047378,0.6128226518630981,-0.07135858431204477,0.6678957478566603,-0.14875685796141624,0.13710506642816708
2010-10-06,-0.2851298153400421,0.568030595779419,0.4,0.0,-0.16961478292942048,0.5947486162185669,-0.07351230400275778,0.6680429577827454,-0.2877057106234133,0.14018091106423955
2010-10-07,-0.40854620933532715,0.5297137498855591,0.5,0.0,-0.2320484220981598,0.5616114854812622,-0.09046075097285211,0.6621163135225122,-0.3121681958436966,0.15692907262061986
2010-10-08,-0.09240271151065826,0.3539556562900543,0.5,0.2,-0.19726307094097137,0.536328810453415,-0.09490215556103397,0.6385890340263193,0.17392675578594208,0.15546543301695634
2010-10-11,-0.24589698016643524,0.649630069732666,0.3,0.0,-0.2258903533220291,0.542275458574295,-0.10401039653119039,0.6342692226171494,-0.1431364119052887,0.15827865871855093
2010-10-12,-0.03746822103857994,0.5545920133590698,0.1,0.1,-0.21388878747820855,0.5311844170093536,-0.10500825152055106,0.6327502686869014,0.06000782921910286,0.1577625405027076
2010-10-13,-0.1947554498910904,0.584949254989624,0.3,0.0,-0.1958139143884182,0.5345681488513947,-0.12001962237991393,0.6255775839090347,0.09037436544895172,0.14927200816926448
2010-10-14,-0.13003583252429962,0.5455635786056519,0.3,0.1,-0.1401118390262127,0.5377381145954132,-0.13619842335835777,0.6219875419681723,0.2785103768110275,0.1277288181349632
2010-10-15,-0.12226901203393936,0.5546177625656128,0.3,0.1,-0.14608509913086892,0.577870535850525,-0.13201561898247086,0.6177955798127435,-0.029866300523281097,0.12655102215976557
2010-10-18,-0.14099343121051788,0.6803433299064636,0.3,0.0,-0.12510438933968543,0.5840131878852844,-0.12200834523801776,0.6253393305973574,0.10490354895591736,0.11581833839008776
2010-10-19,-0.051187895238399506,0.45966511964797974,0.3,0.2,-0.12784832417964936,0.5650278091430664,-0.1229347732891752,0.6169049401174892,-0.013719674199819565,0.11513356866633484
2010-10-20,-0.010758958756923676,0.6958838701248169,0.2,0.1,-0.09104902595281601,0.587214732170105,-0.12357327780178325,0.6075955534523184,0.18399649113416672,0.11443707598706641
2010-10-21,-0.16554565727710724,0.37423330545425415,0.4,0.2,-0.09815099090337753,0.5529486775398255,-0.12703995878638868,0.5872831601988185,-0.03550982475280762,0.11450387790782007
2010-10-22,-0.044544368982315063,0.7303112149238586,0.1,0.0,-0.08260606229305267,0.5880873680114747,-0.1236585930455476,0.5908380353992636,0.0777246430516243,0.11584517206827563
2010-10-25,-0.09954129159450531,0.6325418949127197,0.2,0.1,-0.07431563436985016,0.5785270810127259,-0.12898796980946578,0.5821362286806107,0.04145213961601257,0.11165322839973256
2010-10-26,-0.2999931275844574,0.5105639100074768,0.4,0.0,-0.12407668083906173,0.5887068390846253,-0.13027446968904274,0.5903863378546454,-0.2488052323460579,0.11352317935053824
